EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R106888K,CHARGE+ PTE. LTD.,1,R106888K-001,Type 2,22,757445,6A,ADMIRALTY ROAD WEST,,L1,5,Yes,103.7793231,1.4517182
R107330K,CHARGE+ PTE. LTD.,2,R107330K-001,Type 2,7.4,680686,686,CHOA CHU KANG CRESCENT,,L3B,299 & 300,Yes,103.7489176,1.4040894
R107330K,CHARGE+ PTE. LTD.,2,R107330K-002,Type 2,7.4,680686,686,CHOA CHU KANG CRESCENT,,L3B,299 & 300,Yes,103.7489176,1.4040894
R107331B,CHARGE+ PTE. LTD.,2,R107331B-001,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,347 & 348,Yes,103.770131,1.3098136
R107331B,CHARGE+ PTE. LTD.,2,R107331B-002,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,347 & 348,Yes,103.770131,1.3098136
R107332F,CHARGE+ PTE. LTD.,2,R107332F-001,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,349 & 350,Yes,103.770131,1.3098136
R107332F,CHARGE+ PTE. LTD.,2,R107332F-002,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,349 & 350,Yes,103.770131,1.3098136
R107334C,CHARGE+ PTE. LTD.,2,R107334C-001,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,351 & 352,Yes,103.770131,1.3098136
R107334C,CHARGE+ PTE. LTD.,2,R107334C-002,Type 2,7.4,121416,416A,CLEMENTI AVENUE 1,CASA CLEMENTI,L1,351 & 352,Yes,103.770131,1.3098136
R107370R,CHARGE+ PTE. LTD.,2,R107370R-001,Type 2,7.4,165018,18A,JALAN MEMBINA,MULTI STOREY CAR PARK,L3B,244 & 243,Yes,103.8267956,1.2851351
R107370R,CHARGE+ PTE. LTD.,2,R107370R-002,Type 2,7.4,165018,18A,JALAN MEMBINA,MULTI STOREY CAR PARK,L3B,244 & 243,Yes,103.8267956,1.2851351
R107371D,CHARGE+ PTE. LTD.,2,R107371D-001,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,154 & 155,Yes,103.8119342,1.2960732
R107371D,CHARGE+ PTE. LTD.,2,R107371D-002,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,154 & 155,Yes,103.8119342,1.2960732
R107373A,CHARGE+ PTE. LTD.,2,R107373A-001,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,156 & 157,Yes,103.8119342,1.2960732
R107373A,CHARGE+ PTE. LTD.,2,R107373A-002,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,156 & 157,Yes,103.8119342,1.2960732
R107376B,CHARGE+ PTE. LTD.,2,R107376B-001,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,MC115 &160,Yes,103.8119342,1.2960732
R107376B,CHARGE+ PTE. LTD.,2,R107376B-002,Type 2,7.4,142095,95A,DAWSON ROAD,SKYPARC @ DAWSON,L3B,MC115 &160,Yes,103.8119342,1.2960732
R107378Z,CHARGE+ PTE. LTD.,2,R107378Z-001,Type 2,7.4,180261,261,WATERLOO STREET,SAINT VINCENT HOME,B1,41 & 40,Yes,103.8519378,1.2988083
R107378Z,CHARGE+ PTE. LTD.,2,R107378Z-002,Type 2,7.4,180261,261,WATERLOO STREET,SAINT VINCENT HOME,B1,41 & 40,Yes,103.8519378,1.2988083
R107420H,CHARGE+ PTE. LTD.,2,R107420H-001,Type 2,7.4,650443,443,BUKIT BATOK WEST AVENUE 8,WEST RIDGES @ BUKIT BATOK,L3B,MC66 & 91,Yes,103.7373308,1.3561462
R107420H,CHARGE+ PTE. LTD.,2,R107420H-002,Type 2,7.4,650443,443,BUKIT BATOK WEST AVENUE 8,WEST RIDGES @ BUKIT BATOK,L3B,MC66 & 91,Yes,103.7373308,1.3561462
R107424B,CHARGE+ PTE. LTD.,2,R107424B-001,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,139 & 140,Yes,103.7414226,1.3568142
R107424B,CHARGE+ PTE. LTD.,2,R107424B-002,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,139 & 140,Yes,103.7414226,1.3568142
R107427C,CHARGE+ PTE. LTD.,2,R107427C-001,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,141 & 142,Yes,103.7414226,1.3568142
