EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R118646E,SHELL SINGAPORE PTE. LTD.,1,R118646E-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,32,Yes,103.8525029,1.2842425
R118647K,SHELL SINGAPORE PTE. LTD.,1,R118647K-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,33,Yes,103.8525029,1.2842425
R118648B,SHELL SINGAPORE PTE. LTD.,1,R118648B-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,34,Yes,103.8525029,1.2842425
R119076C,IWOW TECHNOLOGY LIMITED,1,R119076C-001,Type 2,22,408830,81,UBI AVENUE 4,UB. ONE,L4,5,Yes,103.8917936,1.3335124
R119078R,IWOW TECHNOLOGY LIMITED,2,R119078R-001,CCS 2,60,408830,81,UBI AVENUE 4,UB. ONE,L1,47 AND 48,Yes,103.8917936,1.3335124
R119078R,IWOW TECHNOLOGY LIMITED,2,R119078R-002,CCS 2,60,408830,81,UBI AVENUE 4,UB. ONE,L1,47 AND 48,Yes,103.8917936,1.3335124
R119754G,COMFORTDELGRO ENGIE PTE. LTD.,1,R119754G-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,16,Yes,103.78993,1.441662
R119755R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119755R-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,17,Yes,103.78993,1.441662
R119757H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119757H-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,18,Yes,103.78993,1.441662
R119758A,COMFORTDELGRO ENGIE PTE. LTD.,1,R119758A-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,81,Yes,103.74105,1.3851388
R119759E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119759E-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,82,Yes,103.74105,1.3851388
R119760H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119760H-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,83,Yes,103.74105,1.3851388
R119762E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119762E-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,40,Yes,103.7398885,1.3201263
R119763K,COMFORTDELGRO ENGIE PTE. LTD.,1,R119763K-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,41,Yes,103.7398885,1.3201263
R119764B,COMFORTDELGRO ENGIE PTE. LTD.,1,R119764B-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,42,Yes,103.7398885,1.3201263
R119879R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119879R-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,183,Yes,103.7987196,1.4371899
R119880C,COMFORTDELGRO ENGIE PTE. LTD.,1,R119880C-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,184,Yes,103.7987196,1.4371899
R119881G,COMFORTDELGRO ENGIE PTE. LTD.,1,R119881G-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,185,Yes,103.7987196,1.4371899
R119882R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119882R-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,179,Yes,103.8001313,1.434098
R119883D,COMFORTDELGRO ENGIE PTE. LTD.,1,R119883D-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,180,Yes,103.8001313,1.434098
R119884H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119884H-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,181,Yes,103.8001313,1.434098
R119885A,COMFORTDELGRO ENGIE PTE. LTD.,1,R119885A-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,159,Yes,103.8020795,1.4362559
R119886E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119886E-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,160,Yes,103.8020795,1.4362559
R119887K,COMFORTDELGRO ENGIE PTE. LTD.,1,R119887K-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,161,Yes,103.8020795,1.4362559
R119912G,SHELL SINGAPORE PTE. LTD.,1,R119912G-001,Type 2,7,751358,358A,ADMIRALTY DRIVE,MULTI STOREY CAR PARK,L3A,312,Yes,103.8166936,1.4489272
R119913R,SHELL SINGAPORE PTE. LTD.,1,R119913R-001,Type 2,7,751358,358A,ADMIRALTY DRIVE,MULTI STOREY CAR PARK,L3A,313,Yes,103.8166936,1.4489272
R119914D,SHELL SINGAPORE PTE. LTD.,1,R119914D-001,Type 2,7,751358,358A,ADMIRALTY DRIVE,MULTI STOREY CAR PARK,L3A,314,Yes,103.8166936,1.4489272
R119915H,SHELL SINGAPORE PTE. LTD.,1,R119915H-001,Type 2,7,530996,996,BUANGKOK CRESCENT,BUANGKOK TROPICA,L3A,79,Yes,103.8820055,1.3867765
R119916A,SHELL SINGAPORE PTE. LTD.,1,R119916A-001,Type 2,7,530996,996,BUANGKOK CRESCENT,BUANGKOK TROPICA,L3A,78,Yes,103.8820055,1.3867765
R119917E,SHELL SINGAPORE PTE. LTD.,1,R119917E-001,Type 2,7,530996,996,BUANGKOK CRESCENT,BUANGKOK TROPICA,L3A,77,Yes,103.8820055,1.3867765
R120819B,CHARGE+ PTE. LTD.,2,R120819B-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,257 & 258,Yes,103.7420406,1.3829167
R120819B,CHARGE+ PTE. LTD.,2,R120819B-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,257 & 258,Yes,103.7420406,1.3829167
R120820E,CHARGE+ PTE. LTD.,2,R120820E-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,261 & 262,Yes,103.7420406,1.3829167
R120820E,CHARGE+ PTE. LTD.,2,R120820E-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,261 & 262,Yes,103.7420406,1.3829167
R120821K,CHARGE+ PTE. LTD.,2,R120821K-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,281 & 282,Yes,103.7420406,1.3829167
R120821K,CHARGE+ PTE. LTD.,2,R120821K-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,281 & 282,Yes,103.7420406,1.3829167
R120822B,CHARGE+ PTE. LTD.,2,R120822B-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,283 & 284,Yes,103.7420406,1.3829167
R120822B,CHARGE+ PTE. LTD.,2,R120822B-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,283 & 284,Yes,103.7420406,1.3829167
R120823F,CHARGE+ PTE. LTD.,2,R120823F-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,285 & 286,Yes,103.7420406,1.3829167
R120823F,CHARGE+ PTE. LTD.,2,R120823F-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,285 & 286,Yes,103.7420406,1.3829167
R120824Z,CHARGE+ PTE. LTD.,2,R120824Z-001,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,287 & 288,Yes,103.7420406,1.3829167
R120824Z,CHARGE+ PTE. LTD.,2,R120824Z-002,Type 2,7.4,680410,410,CHOA CHU KANG AVENUE 3,KEAT HONG LAUREL,L1,287 & 288,Yes,103.7420406,1.3829167
R121026Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R121026Z-001,Type 2,7,600337,337,JURONG EAST AVENUE 1,,L1,154,Yes,103.7320159,1.3500283
R121027C,COMFORTDELGRO ENGIE PTE. LTD.,1,R121027C-001,Type 2,7,600337,337,JURONG EAST AVENUE 1,,L1,155,Yes,103.7320159,1.3500283
R121028G,COMFORTDELGRO ENGIE PTE. LTD.,1,R121028G-001,Type 2,7,600337,337,JURONG EAST AVENUE 1,,L1,156,Yes,103.7320159,1.3500283
R121029R,COMFORTDELGRO ENGIE PTE. LTD.,1,R121029R-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,328,Yes,103.7494703,1.3469616
R121030C,COMFORTDELGRO ENGIE PTE. LTD.,1,R121030C-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,329,Yes,103.7494703,1.3469616
R121032R,COMFORTDELGRO ENGIE PTE. LTD.,1,R121032R-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,330,Yes,103.7494703,1.3469616
R121034H,COMFORTDELGRO ENGIE PTE. LTD.,1,R121034H-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,333,Yes,103.7494703,1.3469616
R121035A,COMFORTDELGRO ENGIE PTE. LTD.,1,R121035A-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,334,Yes,103.7494703,1.3469616
R121036E,COMFORTDELGRO ENGIE PTE. LTD.,1,R121036E-001,Type 2,7,650208,208,BUKIT BATOK STREET 21,,L1,335,Yes,103.7494703,1.3469616
R121038B,COMFORTDELGRO ENGIE PTE. LTD.,1,R121038B-001,Type 2,7,761848,848A,YISHUN STREET 81,KHATIB CENTRAL,L3A,124,Yes,103.8357514,1.4165576
R121040K,COMFORTDELGRO ENGIE PTE. LTD.,1,R121040K-001,Type 2,7,761848,848A,YISHUN STREET 81,KHATIB CENTRAL,L3A,125,Yes,103.8357514,1.4165576
R121041B,COMFORTDELGRO ENGIE PTE. LTD.,1,R121041B-001,Type 2,7,761848,848A,YISHUN STREET 81,KHATIB CENTRAL,L3A,126,Yes,103.8357514,1.4165576
R121209K,CHARGE+ PTE. LTD.,2,R121209K-001,Type 2,7.4,150161,161,BUKIT MERAH CENTRAL,,L1,27 & 28,Yes,103.8158232,1.2839993
R121209K,CHARGE+ PTE. LTD.,2,R121209K-002,Type 2,7.4,150161,161,BUKIT MERAH CENTRAL,,L1,27 & 28,Yes,103.8158232,1.2839993
R121210A,CHARGE+ PTE. LTD.,2,R121210A-001,Type 2,7.4,150161,161,BUKIT MERAH CENTRAL,,L1,31 & 32,Yes,103.8158232,1.2839993
R121210A,CHARGE+ PTE. LTD.,2,R121210A-002,Type 2,7.4,150161,161,BUKIT MERAH CENTRAL,,L1,31 & 32,Yes,103.8158232,1.2839993
R121211E,CHARGE+ PTE. LTD.,2,R121211E-001,Type 2,7.4,600255,255,JURONG EAST STREET 24,,L1,92 & 93,Yes,103.7369201,1.3435407
R121211E,CHARGE+ PTE. LTD.,2,R121211E-002,Type 2,7.4,600255,255,JURONG EAST STREET 24,,L1,92 & 93,Yes,103.7369201,1.3435407
R121212K,CHARGE+ PTE. LTD.,2,R121212K-001,Type 2,7.4,600255,255,JURONG EAST STREET 24,,L1,94 & 95,Yes,103.7369201,1.3435407
R121212K,CHARGE+ PTE. LTD.,2,R121212K-002,Type 2,7.4,600255,255,JURONG EAST STREET 24,,L1,94 & 95,Yes,103.7369201,1.3435407
R121213B,CHARGE+ PTE. LTD.,2,R121213B-001,CCS 2,160,600255,255,JURONG EAST STREET 24,,L1,90 & 91,Yes,103.7369201,1.3435407
R121213B,CHARGE+ PTE. LTD.,2,R121213B-002,CCS 2,160,600255,255,JURONG EAST STREET 24,,L1,90 & 91,Yes,103.7369201,1.3435407
R121435Z,CHARGE+ PTE. LTD.,2,R121435Z-001,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,123 & 124,Yes,103.717901,1.3493549
R121435Z,CHARGE+ PTE. LTD.,2,R121435Z-002,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,123 & 124,Yes,103.717901,1.3493549
R121436C,CHARGE+ PTE. LTD.,2,R121436C-001,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,125 & 126,Yes,103.717901,1.3493549
R121436C,CHARGE+ PTE. LTD.,2,R121436C-002,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,125 & 126,Yes,103.717901,1.3493549
R121438R,CHARGE+ PTE. LTD.,2,R121438R-001,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,128 & 129,Yes,103.717901,1.3493549
R121438R,CHARGE+ PTE. LTD.,2,R121438R-002,Type 2,7.4,641505,505A,JURONG WEST STREET 52,,L3A,128 & 129,Yes,103.717901,1.3493549
R121532C,CHARGE+ PTE. LTD.,2,R121532C-001,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,72 & 73,Yes,103.8744514,1.3124602
R121532C,CHARGE+ PTE. LTD.,2,R121532C-002,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,72 & 73,Yes,103.8744514,1.3124602
R121533G,CHARGE+ PTE. LTD.,2,R121533G-001,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,84 & 85,Yes,103.8744514,1.3124602
R121533G,CHARGE+ PTE. LTD.,2,R121533G-002,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,84 & 85,Yes,103.8744514,1.3124602
R121534R,CHARGE+ PTE. LTD.,2,R121534R-001,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,95 & 96,Yes,103.8744514,1.3124602
R121534R,CHARGE+ PTE. LTD.,2,R121534R-002,Type 2,7.4,382114,114A,LORONG 3 GEYLANG,,L2A,95 & 96,Yes,103.8744514,1.3124602
R121535D,CHARGE+ PTE. LTD.,2,R121535D-001,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,350 & 351,Yes,103.745017,1.3446077
R121535D,CHARGE+ PTE. LTD.,2,R121535D-002,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,350 & 351,Yes,103.745017,1.3446077
R121536H,CHARGE+ PTE. LTD.,2,R121536H-001,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,353 & 354,Yes,103.745017,1.3446077
R121536H,CHARGE+ PTE. LTD.,2,R121536H-002,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,353 & 354,Yes,103.745017,1.3446077
R121537A,CHARGE+ PTE. LTD.,2,R121537A-001,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,372 & 373,Yes,103.745017,1.3446077
R121537A,CHARGE+ PTE. LTD.,2,R121537A-002,Type 2,7.4,650194,194,BUKIT BATOK WEST AVENUE 6,SKYLINE I @ BUKIT BATOK,L3B,372 & 373,Yes,103.745017,1.3446077
R121538E,CHARGE+ PTE. LTD.,2,R121538E-001,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,110 & 111,Yes,103.7418689,1.3787338
R121538E,CHARGE+ PTE. LTD.,2,R121538E-002,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,110 & 111,Yes,103.7418689,1.3787338
R121539K,CHARGE+ PTE. LTD.,2,R121539K-001,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,112 & 113,Yes,103.7418689,1.3787338
R121539K,CHARGE+ PTE. LTD.,2,R121539K-002,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,112 & 113,Yes,103.7418689,1.3787338
R121540A,CHARGE+ PTE. LTD.,2,R121540A-001,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,114 & 115,Yes,103.7418689,1.3787338
R121540A,CHARGE+ PTE. LTD.,2,R121540A-002,Type 2,7.4,681287,287A,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L3A,114 & 115,Yes,103.7418689,1.3787338
R121541E,CHARGE+ PTE. LTD.,2,R121541E-001,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,707 & 706,Yes,103.8410541,1.2769774
R121541E,CHARGE+ PTE. LTD.,2,R121541E-002,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,707 & 706,Yes,103.8410541,1.2769774
R121542K,CHARGE+ PTE. LTD.,2,R121542K-001,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,709 & 708,Yes,103.8410541,1.2769774
R121542K,CHARGE+ PTE. LTD.,2,R121542K-002,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,709 & 708,Yes,103.8410541,1.2769774
R121543B,CHARGE+ PTE. LTD.,2,R121543B-001,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,711 & 710,Yes,103.8410541,1.2769774
R121543B,CHARGE+ PTE. LTD.,2,R121543B-002,Type 2,7.4,80001,1,CANTONMENT ROAD,PINNACLE @ DUXTON,L1,711 & 710,Yes,103.8410541,1.2769774
R121544F,CHARGE+ PTE. LTD.,2,R121544F-001,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,272 & 273,Yes,103.8568008,1.306267
R121544F,CHARGE+ PTE. LTD.,2,R121544F-002,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,272 & 273,Yes,103.8568008,1.306267
R121546C,CHARGE+ PTE. LTD.,2,R121546C-001,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,274 & 275,Yes,103.8568008,1.306267
R121546C,CHARGE+ PTE. LTD.,2,R121546C-002,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,274 & 275,Yes,103.8568008,1.306267
R121547G,CHARGE+ PTE. LTD.,2,R121547G-001,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,276 & 277,Yes,103.8568008,1.306267
R121547G,CHARGE+ PTE. LTD.,2,R121547G-002,Type 2,7.4,200031,31,KELANTAN LANE,,L3B,276 & 277,Yes,103.8568008,1.306267
R121548R,CHARGE+ PTE. LTD.,2,R121548R-001,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,328 & 329,Yes,103.84227,1.2854504
R121548R,CHARGE+ PTE. LTD.,2,R121548R-002,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,328 & 329,Yes,103.84227,1.2854504
R121549D,CHARGE+ PTE. LTD.,2,R121549D-001,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,330 & 331,Yes,103.84227,1.2854504
R121549D,CHARGE+ PTE. LTD.,2,R121549D-002,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,330 & 331,Yes,103.84227,1.2854504
R121550G,CHARGE+ PTE. LTD.,2,R121550G-001,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,332 & 333,Yes,103.84227,1.2854504
R121550G,CHARGE+ PTE. LTD.,2,R121550G-002,Type 2,7.4,50033,33,PARK CRESCENT,MULTI STOREY CAR PARK,L5,332 & 333,Yes,103.84227,1.2854504
R121554A,CHARGE+ PTE. LTD.,2,R121554A-001,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,157 & 156,Yes,103.7589498,1.3858912
R121554A,CHARGE+ PTE. LTD.,2,R121554A-002,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,157 & 156,Yes,103.7589498,1.3858912
R121556K,CHARGE+ PTE. LTD.,2,R121556K-001,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,159 & 158,Yes,103.7589498,1.3858912
R121556K,CHARGE+ PTE. LTD.,2,R121556K-002,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,159 & 158,Yes,103.7589498,1.3858912
R121557B,CHARGE+ PTE. LTD.,2,R121557B-001,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,161 & 160,Yes,103.7589498,1.3858912
R121557B,CHARGE+ PTE. LTD.,2,R121557B-002,Type 2,7.4,671629,629A,SENJA ROAD,SENJA GRAND,L3A,161 & 160,Yes,103.7589498,1.3858912
R121558F,CHARGE+ PTE. LTD.,2,R121558F-001,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,104 & 105,Yes,103.8836578,1.3003313
R121558F,CHARGE+ PTE. LTD.,2,R121558F-002,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,104 & 105,Yes,103.8836578,1.3003313
R121559Z,CHARGE+ PTE. LTD.,2,R121559Z-001,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,106 & 107,Yes,103.8836578,1.3003313
R121559Z,CHARGE+ PTE. LTD.,2,R121559Z-002,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,106 & 107,Yes,103.8836578,1.3003313
R121561F,CHARGE+ PTE. LTD.,2,R121561F-001,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,108 & 109,Yes,103.8836578,1.3003313
R121561F,CHARGE+ PTE. LTD.,2,R121561F-002,Type 2,7.4,432014,14A,KAMPONG ARANG ROAD,MULTI STOREY CAR PARK,L3,108 & 109,Yes,103.8836578,1.3003313
R121660G,CHARGE+ PTE. LTD.,2,R121660G-001,Type 2,7.4,89067,21,KEPPEL ROAD,BEYONDX,L1,17 & 18,Yes,103.8411124,1.2728047
R121660G,CHARGE+ PTE. LTD.,2,R121660G-002,Type 2,7.4,89067,21,KEPPEL ROAD,BEYONDX,L1,17 & 18,Yes,103.8411124,1.2728047
R121661R,CHARGE+ PTE. LTD.,1,R121661R-001,Type 2,7,89067,21,KEPPEL ROAD,BEYONDX,L1,19,Yes,103.8411124,1.2728047
R121667B,KED ENERGY PTE. LTD.,1,R121667B-001,Type 2,22,259396,50,DRAYCOTT PARK,THE DRAYCOTT,L1,'-,Yes,103.8312453,1.3116689
R121668F,KED ENERGY PTE. LTD.,1,R121668F-001,Type 2,22,259396,50,DRAYCOTT PARK,THE DRAYCOTT,L1,'-,Yes,103.8312453,1.3116689
R122298C,SHELL SINGAPORE PTE. LTD.,1,R122298C-001,Type 2,22,238880,501,ORCHARD ROAD,WHEELOCK PLACE,B2,20,Yes,103.830642,1.3046763
R122299G,SHELL SINGAPORE PTE. LTD.,1,R122299G-001,Type 2,22,238880,501,ORCHARD ROAD,WHEELOCK PLACE,B2,21,Yes,103.830642,1.3046763
R123557R,MNL SOLUTIONS PTE. LTD.,1,R123557R-001,Type 2,22,328836,81,KIM KEAT ROAD,NKF CENTRE,L1,35,Yes,103.8545393,1.3265984
R123558D,MNL SOLUTIONS PTE. LTD.,1,R123558D-001,Type 2,22,328836,81,KIM KEAT ROAD,NKF CENTRE,L1,36,Yes,103.8545393,1.3265984
R123559H,MNL SOLUTIONS PTE. LTD.,1,R123559H-001,Type 2,22,328836,81,KIM KEAT ROAD,NKF CENTRE,L1,37,Yes,103.8545393,1.3265984
R123560R,MNL SOLUTIONS PTE. LTD.,1,R123560R-001,Type 2,22,328836,81,KIM KEAT ROAD,NKF CENTRE,L1,38,Yes,103.8545393,1.3265984
R123898Z,SHELL SINGAPORE PTE. LTD.,1,R123898Z-001,Type 2,7,760263,263,YISHUN STREET 22,,L1,237,Yes,103.8395119,1.4357474
R123899C,SHELL SINGAPORE PTE. LTD.,1,R123899C-001,Type 2,7,760263,263,YISHUN STREET 22,,L1,236,Yes,103.8395119,1.4357474
R123900F,SHELL SINGAPORE PTE. LTD.,1,R123900F-001,Type 2,7,760263,263,YISHUN STREET 22,,L1,235,Yes,103.8395119,1.4357474
R123972A,EV MOBILITY PTE. LTD.,2,R123972A-001,CCS 2,120,627607,5,SOON LEE STREET,PIONEER POINT,L2,179-180,Yes,103.6988563,1.3338432
R123972A,EV MOBILITY PTE. LTD.,2,R123972A-002,CCS 2,120,627607,5,SOON LEE STREET,PIONEER POINT,L2,179-180,Yes,103.6988563,1.3338432
R124067B,SHELL SINGAPORE PTE. LTD.,1,R124067B-001,Type 2,7,731775,775A,WOODLANDS CRESCENT,MULTI STOREY CAR PARK,L3B,146,Yes,103.8003423,1.4481666
R124068F,SHELL SINGAPORE PTE. LTD.,1,R124068F-001,Type 2,7,731775,775A,WOODLANDS CRESCENT,MULTI STOREY CAR PARK,L3B,147,Yes,103.8003423,1.4481666
R124070B,SHELL SINGAPORE PTE. LTD.,1,R124070B-001,Type 2,7,731775,775A,WOODLANDS CRESCENT,MULTI STOREY CAR PARK,L3B,148,Yes,103.8003423,1.4481666
R124071F,SHELL SINGAPORE PTE. LTD.,1,R124071F-001,Type 2,7,730785,785,WOODLANDS RISE,WOODLANDS PASTURE II,L3A,127,Yes,103.8049956,1.4470667
R124072Z,SHELL SINGAPORE PTE. LTD.,1,R124072Z-001,Type 2,7,730785,785,WOODLANDS RISE,WOODLANDS PASTURE II,L3A,128,Yes,103.8049956,1.4470667
R124249H,SHELL SINGAPORE PTE. LTD.,1,R124249H-001,Type 2,7,820677,677,PUNGGOL DRIVE,WATERWAY BROOKS,L2,298,Yes,103.9095797,1.4057399
R124250R,SHELL SINGAPORE PTE. LTD.,1,R124250R-001,Type 2,7,820677,677,PUNGGOL DRIVE,WATERWAY BROOKS,L2,297,Yes,103.9095797,1.4057399
R124254E,SHELL SINGAPORE PTE. LTD.,1,R124254E-001,Type 2,7,820677,677,PUNGGOL DRIVE,WATERWAY BROOKS,L2,296,Yes,103.9095797,1.4057399
R124257F,SHELL SINGAPORE PTE. LTD.,1,R124257F-001,Type 2,22,649674,2,BULIM LINK,HYUNDAI MOTOR GROUP INNOVATION CENTER SINGAPORE (HMGICS),B1,27,Yes,103.7115828,1.3536054
R124258Z,SHELL SINGAPORE PTE. LTD.,1,R124258Z-001,Type 2,22,649674,2,BULIM LINK,HYUNDAI MOTOR GROUP INNOVATION CENTER SINGAPORE (HMGICS),B1,28,Yes,103.7115828,1.3536054
R124261Z,SHELL SINGAPORE PTE. LTD.,1,R124261Z-001,Type 2,22,649674,2,BULIM LINK,HYUNDAI MOTOR GROUP INNOVATION CENTER SINGAPORE (HMGICS),B1,30,Yes,103.7115828,1.3536054
R124320K,VOLT SINGAPORE PTE. LTD.,2,R124320K-001,CCS 2,120,677730,350,WOODLANDS ROAD,GALI BATU DEPOT,L1,2,Yes,103.7555236,1.3975265
R124320K,VOLT SINGAPORE PTE. LTD.,2,R124320K-002,CCS 2,120,677730,350,WOODLANDS ROAD,GALI BATU DEPOT,L1,2,Yes,103.7555236,1.3975265
R124322F,VOLT SINGAPORE PTE. LTD.,2,R124322F-001,CCS 2,120,677730,350,WOODLANDS ROAD,GALI BATU DEPOT,L1,4,Yes,103.7555236,1.3975265
R124322F,VOLT SINGAPORE PTE. LTD.,2,R124322F-002,CCS 2,120,677730,350,WOODLANDS ROAD,GALI BATU DEPOT,L1,4,Yes,103.7555236,1.3975265
